episode_return,episode_length,total_steps
-10,10,9406
-10,20,9426
-20,20,9446
-20,20,9466
-20,20,9486
-20,20,9506
8,2,9508
-20,20,9528
-13,13,9541
-20,20,9561
-20,20,9581
-20,20,9601
-20,20,9621
-20,20,9641
-20,20,9661
-20,20,9681
-9,19,9700
-20,20,9720
-20,20,9740
-20,20,9760
-20,20,9780
-20,20,9800
-20,20,9820
-20,20,9840
-20,20,9860
-20,20,9880
-20,20,9900
-20,20,9920
8,2,9922
-20,20,9942
-20,20,9962
-20,20,9982
-20,20,10002
-20,20,10022
-20,20,10042
-20,20,10062
-20,20,10082
-13,13,10095
0,10,10105
-20,20,10125
-20,20,10145
-20,20,10165
-20,20,10185
-20,20,10205
-20,20,10225
-20,20,10245
0,10,10255
-1,11,10266
-20,20,10286
-20,20,10306
-20,20,10326
-20,20,10346
9,1,10347
-20,20,10367
-20,20,10387
-20,20,10407
9,1,10408
5,5,10413
-20,20,10433
-3,13,10446
-10,20,10466
-20,20,10486
-20,20,10506
-20,20,10526
-20,20,10546
6,4,10550
-20,20,10570
-20,20,10590
7,3,10593
-20,20,10613
7,3,10616
-20,20,10636
-20,20,10656
6,4,10660
-20,20,10680
-20,20,10700
-20,20,10720
-20,20,10740
-20,20,10760
-20,20,10780
8,2,10782
-20,20,10802
-20,20,10822
-20,20,10842
-20,20,10862
-20,20,10882
-20,20,10902
-20,20,10922
-20,20,10942
-20,20,10962
-1,11,10973
-20,20,10993
-20,20,11013
0,10,11023
4,6,11029
-20,20,11049
-20,20,11069
-20,20,11089
-20,20,11109
-20,20,11129
1,9,11138
-20,20,11158
-5,15,11173
-20,20,11193
-20,20,11213
-20,20,11233
-20,20,11253
-1,11,11264
-20,20,11284
-20,20,11304
-20,20,11324
-20,20,11344
-20,20,11364
-20,20,11384
2,8,11392
-20,20,11412
-20,20,11432
9,1,11433
9,1,11434
-20,20,11454
-20,20,11474
-20,20,11494
-2,12,11506
-20,20,11526
-20,20,11546
-20,20,11566
5,5,11571
-20,20,11591
-2,12,11603
-20,20,11623
-2,2,11625
-20,20,11645
-4,14,11659
-20,20,11679
-20,20,11699
-20,20,11719
-20,20,11739
-20,20,11759
3,7,11766
-20,20,11786
-20,20,11806
-20,20,11826
8,2,11828
-20,20,11848
-20,20,11868
-20,20,11888
-20,20,11908
-20,20,11928
-20,20,11948
-20,20,11968
-20,20,11988
-20,20,12008
-20,20,12028
-20,20,12048
-12,12,12060
3,7,12067
-20,20,12087
-20,20,12107
-20,20,12127
-1,11,12138
-20,20,12158
-20,20,12178
-20,20,12198
-20,20,12218
-20,20,12238
-20,20,12258
-20,20,12278
-20,20,12298
8,2,12300
-20,20,12320
-20,20,12340
-20,20,12360
-20,20,12380
9,1,12381
-20,20,12401
1,9,12410
-20,20,12430
2,8,12438
-20,20,12458
-20,20,12478
-20,20,12498
-20,20,12518
-20,20,12538
-20,20,12558
-20,20,12578
-20,20,12598
-20,20,12618
-20,20,12638
-20,20,12658
-20,20,12678
-20,20,12698
-20,20,12718
-20,20,12738
-20,20,12758
