length_up,length_low,length_center,return_up,return_low,return_center
5,1,3.0,9,-3,3.6666666666666665
15,1,6.0,8,-5,0.6666666666666666
6,1,3.6666666666666665,9,4,6.333333333333333
20,1,12.0,9,-20,-5.333333333333333
13,9,11.0,1,-3,-1.0
7,1,4.0,9,3,6.0
5,1,3.0,9,-3,3.6666666666666665
7,1,4.333333333333333,9,3,5.666666666666667
16,13,14.333333333333334,-3,-16,-7.666666666666667
9,1,5.0,9,1,5.0
20,5,12.333333333333334,5,-10,-2.3333333333333335
13,4,8.0,6,-13,-1.3333333333333333
14,3,8.333333333333334,7,-4,1.6666666666666667
12,2,5.333333333333333,8,-2,4.666666666666667
10,1,5.333333333333333,9,0,4.666666666666667
20,3,9.0,7,-20,-2.3333333333333335
6,1,4.0,9,4,6.0
4,1,2.6666666666666665,7,-1,4.0
12,1,5.0,9,-2,1.6666666666666667
12,1,7.0,9,-2,3.0
2,1,1.3333333333333333,9,-1,5.333333333333333
3,1,1.6666666666666667,9,7,8.333333333333334
5,2,3.3333333333333335,8,5,6.666666666666667
20,1,8.666666666666666,9,-20,-2.0
5,1,2.3333333333333335,9,-5,4.333333333333333
7,1,4.0,9,3,6.0
11,1,5.333333333333333,9,-4,1.3333333333333333
8,2,4.333333333333333,8,2,5.666666666666667
5,1,2.3333333333333335,9,5,7.666666666666667
5,2,3.3333333333333335,8,5,6.666666666666667
20,1,12.0,-1,-20,-8.666666666666666
2,1,1.3333333333333333,9,8,8.666666666666666
15,2,7.333333333333333,8,-5,2.6666666666666665
20,2,8.333333333333334,8,-20,-5.0
5,1,2.6666666666666665,9,5,7.333333333333333
20,1,10.0,9,-20,-3.3333333333333335
20,3,10.0,3,-20,-6.666666666666667
20,1,8.0,9,-20,-1.3333333333333333
17,1,7.0,9,-7,3.0
5,3,4.0,7,5,6.0
3,2,2.3333333333333335,8,-3,4.333333333333333
10,2,5.0,8,-3,1.6666666666666667
4,1,2.3333333333333335,9,6,7.666666666666667
7,1,3.3333333333333335,9,3,6.666666666666667
4,1,2.3333333333333335,9,6,7.666666666666667
5,1,3.0,9,5,7.0
17,1,6.666666666666667,8,-7,0.0
6,2,3.6666666666666665,8,-3,3.0
8,3,5.333333333333333,7,-5,1.3333333333333333
8,1,4.333333333333333,9,2,5.666666666666667
1,1,1.0,9,9,9.0
14,1,6.0,9,-4,4.0
7,1,3.6666666666666665,7,-7,-0.3333333333333333
2,1,1.6666666666666667,9,8,8.333333333333334
20,3,9.333333333333334,7,-20,-2.6666666666666665
20,2,8.0,8,-20,-1.3333333333333333
1,1,1.0,9,9,9.0
20,5,15.0,5,-20,-11.666666666666666
20,2,10.666666666666666,8,-20,-7.333333333333333
5,1,2.6666666666666665,9,5,7.333333333333333
8,1,3.6666666666666665,9,2,6.333333333333333
11,1,7.0,9,-1,3.0
15,2,8.333333333333334,8,-5,1.6666666666666667
9,1,4.666666666666667,6,-1,2.0
20,2,12.0,-2,-20,-8.666666666666666
7,1,3.3333333333333335,9,3,6.666666666666667
7,2,5.333333333333333,8,-7,1.3333333333333333
20,3,9.0,7,-20,-2.3333333333333335
12,5,8.0,5,-7,-1.3333333333333333
7,1,5.0,9,3,5.0
11,1,4.333333333333333,9,-11,2.3333333333333335
3,1,1.6666666666666667,9,7,8.333333333333334
20,12,14.666666666666666,-2,-20,-11.333333333333334
5,2,3.0,8,5,7.0
6,1,3.3333333333333335,9,-3,3.3333333333333335
10,3,5.333333333333333,7,-3,1.3333333333333333
6,1,3.3333333333333335,9,4,6.666666666666667
5,2,3.6666666666666665,8,-4,3.0
9,1,3.6666666666666665,9,1,6.333333333333333
2,1,1.6666666666666667,8,-1,5.0
9,2,6.333333333333333,8,1,3.6666666666666665
5,2,3.6666666666666665,8,5,6.333333333333333
20,1,7.333333333333333,9,-20,-0.6666666666666666
15,1,8.0,9,-5,2.0
20,3,9.666666666666666,-3,-20,-9.666666666666666
6,1,4.333333333333333,9,4,5.666666666666667
5,2,3.3333333333333335,8,5,6.666666666666667
8,2,5.666666666666667,3,-2,1.0
5,2,3.0,8,5,7.0
11,1,5.666666666666667,9,-1,4.333333333333333
19,3,12.333333333333334,7,-15,-5.666666666666667
12,7,9.333333333333334,3,-12,-2.6666666666666665
12,3,6.333333333333333,7,-2,3.6666666666666665
3,1,2.3333333333333335,7,-1,4.333333333333333
5,1,3.0,9,5,7.0
13,1,7.0,9,-3,3.0
10,1,4.666666666666667,9,0,5.333333333333333
20,2,12.333333333333334,8,-20,-5.666666666666667
20,1,9.333333333333334,9,-20,-2.6666666666666665
10,1,4.0,9,0,6.0
7,3,5.333333333333333,3,-6,-2.0
3,1,1.6666666666666667,9,7,8.333333333333334
8,4,6.666666666666667,6,2,3.3333333333333335
4,1,2.3333333333333335,9,6,7.666666666666667
4,2,3.3333333333333335,8,6,6.666666666666667
8,1,4.0,9,2,6.0
19,7,14.0,3,-9,-4.0
3,1,2.3333333333333335,9,7,7.666666666666667
5,1,3.3333333333333335,9,-5,0.0
20,2,9.333333333333334,8,-20,-2.6666666666666665
20,2,13.333333333333334,-2,-20,-10.0
11,1,4.333333333333333,9,-1,5.666666666666667
7,1,3.3333333333333335,9,3,6.666666666666667
12,1,5.666666666666667,9,-2,4.333333333333333
9,1,4.0,9,-9,2.6666666666666665
13,4,7.0,6,-4,-0.3333333333333333
17,1,9.333333333333334,9,-7,0.6666666666666666
13,1,6.0,9,-3,4.0
3,1,2.0,9,7,8.0
20,2,9.666666666666666,8,-20,-3.0
8,6,7.333333333333333,4,2,2.6666666666666665
20,3,11.333333333333334,7,-20,-4.666666666666667
17,4,9.0,6,-7,1.0
14,4,10.0,6,-4,0.0
3,1,2.3333333333333335,9,7,7.666666666666667
6,2,3.3333333333333335,8,-6,3.3333333333333335
14,1,6.0,9,-4,4.0
3,1,1.6666666666666667,9,7,8.333333333333334
20,2,11.333333333333334,8,-20,-4.666666666666667
20,2,11.0,-1,-20,-7.666666666666667
13,1,5.666666666666667,7,-3,1.0
15,1,6.333333333333333,9,-15,0.3333333333333333
4,3,3.6666666666666665,7,6,6.333333333333333
20,1,9.333333333333334,9,-20,-2.6666666666666665
8,2,4.333333333333333,8,-8,2.3333333333333335
20,1,7.666666666666667,8,-20,-4.333333333333333
20,14,16.666666666666668,-4,-20,-10.0
8,1,3.3333333333333335,9,2,6.666666666666667
10,1,4.333333333333333,9,0,5.666666666666667
4,1,2.0,9,6,8.0
12,1,5.333333333333333,9,-3,1.3333333333333333
20,1,8.333333333333334,9,-20,-1.6666666666666667
4,2,3.0,8,6,7.0
9,5,6.333333333333333,5,-5,0.3333333333333333
18,1,7.333333333333333,9,-8,2.6666666666666665
20,1,7.333333333333333,9,-20,-0.6666666666666666
3,1,2.0,9,7,8.0
5,1,2.3333333333333335,9,-5,4.333333333333333
14,2,6.333333333333333,8,-4,3.6666666666666665
20,1,10.333333333333334,9,-20,-3.6666666666666665
12,3,6.0,7,-2,4.0
8,1,4.0,9,2,6.0
6,2,3.3333333333333335,8,-6,3.3333333333333335
4,2,3.0,8,6,7.0
13,3,6.666666666666667,7,-13,0.0
2,1,1.6666666666666667,9,8,8.333333333333334
20,1,8.666666666666666,5,-10,-2.0
20,3,11.333333333333334,7,-20,-4.666666666666667
20,6,11.666666666666666,4,-20,-5.0
20,2,8.333333333333334,7,-20,-5.0
5,1,3.0,9,-3,3.6666666666666665
5,2,3.3333333333333335,8,-3,3.3333333333333335
20,3,9.666666666666666,7,-20,-3.0
4,3,3.6666666666666665,7,-4,3.0
11,2,5.333333333333333,8,-1,4.666666666666667
20,8,13.666666666666666,2,-20,-7.0
8,1,3.6666666666666665,9,2,6.333333333333333
15,3,10.0,7,-15,-6.666666666666667
14,1,8.666666666666666,9,-4,1.3333333333333333
20,1,13.666666666666666,-1,-20,-10.333333333333334
17,1,8.333333333333334,9,-7,1.6666666666666667
20,1,12.333333333333334,-1,-20,-9.0
18,1,7.333333333333333,9,-8,2.6666666666666665
16,2,8.333333333333334,8,-7,-1.6666666666666667
7,5,5.666666666666667,5,-5,1.0
20,3,14.333333333333334,7,-20,-11.0
13,1,7.666666666666667,9,-3,2.3333333333333335
13,3,7.666666666666667,7,-13,-1.0
6,3,4.0,7,-3,2.6666666666666665
8,4,5.333333333333333,6,2,4.666666666666667
9,2,6.666666666666667,8,-9,0.0
18,1,8.666666666666666,9,-8,1.3333333333333333
20,2,14.0,8,-20,-10.666666666666666
5,1,3.3333333333333335,9,5,6.666666666666667
12,1,6.0,9,-2,4.0
20,1,8.333333333333334,9,-20,-1.6666666666666667
3,1,1.6666666666666667,9,-1,5.0
17,3,8.0,7,-7,2.0
20,19,19.666666666666668,-9,-20,-16.333333333333332
10,4,7.0,6,0,3.0
20,10,13.333333333333334,0,-20,-6.666666666666667
6,1,3.0,9,4,7.0
4,1,2.6666666666666665,9,6,7.333333333333333
20,2,13.666666666666666,8,-20,-7.0
20,14,17.666666666666668,-14,-20,-17.666666666666668
4,2,3.3333333333333335,8,6,6.666666666666667
20,5,13.0,5,-20,-6.333333333333333
20,1,9.0,9,-20,-2.3333333333333335
6,1,3.3333333333333335,7,-1,3.3333333333333335
3,1,2.0,9,-2,4.666666666666667
18,6,12.666666666666666,-4,-8,-6.0
20,2,14.0,8,-20,-10.666666666666666
20,2,8.333333333333334,8,-20,-1.6666666666666667
20,6,11.333333333333334,4,-20,-4.666666666666667
20,2,13.666666666666666,8,-19,-7.0
20,3,9.666666666666666,7,-20,-3.0
20,1,7.666666666666667,9,-20,-1.0
8,2,4.333333333333333,8,2,5.666666666666667
20,14,17.666666666666668,-4,-20,-11.0
4,2,2.6666666666666665,8,6,7.333333333333333
20,2,9.666666666666666,8,-20,-3.0
