epochs,loss,accu
146,1.3014634e-06,0.9947916666666666
147,0.0044734892,0.984375
148,0.00012335162,0.9921875
149,8.692462e-06,0.9921875
150,0.00045627897,0.9947916666666666
151,3.32951e-06,0.9921875
152,3.5279474e-05,0.9947916666666666
153,0.00038135005,0.9947916666666666
154,0.0037563806,0.9947916666666666
155,0.0007961693,0.9947916666666666
156,0.0035578301,0.9947916666666666
157,0.00017137075,0.9947916666666666
158,0.00043607046,0.9947916666666666
159,6.640449e-05,0.9947916666666666
160,0.0020650867,0.9947916666666666
161,5.8649555e-05,0.9947916666666666
162,0.0051515037,0.9947916666666666
163,0.0010466404,0.9947916666666666
164,0.0014955567,0.9947916666666666
165,7.4933436e-05,0.9947916666666666
166,0.0059396904,0.9947916666666666
167,9.68439e-06,0.9947916666666666
168,0.0005698384,0.9947916666666666
169,7.206187e-05,0.9947916666666666
170,0.00021866249,0.9947916666666666
171,0.0020640325,0.9947916666666666
172,5.283567e-05,0.9947916666666666
173,0.0019265735,0.9947916666666666
174,0.0009843518,0.9947916666666666
175,0.0024547693,0.9947916666666666
176,4.995715e-05,0.9947916666666666
177,0.0017332579,0.9921875
178,4.701891e-05,0.9947916666666666
179,0.0032673914,0.9947916666666666
180,0.00018825322,0.9947916666666666
181,1.2580813e-05,0.9947916666666666
182,0.0005323332,0.9947916666666666
183,0.0028418265,0.9947916666666666
184,0.0015896672,0.9947916666666666
185,0.00024514116,0.9947916666666666
186,0.0014694794,0.9947916666666666
187,0.00045181028,0.9947916666666666
188,1.3405986e-05,0.9947916666666666
189,0.0016912186,0.9947916666666666
190,0.0060096527,0.9947916666666666
191,9.2814415e-05,0.9947916666666666
192,0.00062293024,0.9947916666666666
193,1.2040384e-05,0.9947916666666666
194,0.10277984,0.9947916666666666
195,0.002754465,0.9921875
196,0.012074378,0.9869791666666666
197,0.31099868,0.9817708333333334
198,0.0009588629,0.9947916666666666
199,0.0016373389,0.9947916666666666
200,0.01483454,0.9947916666666666
201,0.00093512103,0.9947916666666666
202,0.0014082054,0.9947916666666666
203,0.00029914812,0.9947916666666666
204,0.00065960817,0.9947916666666666
205,0.010405593,0.9947916666666666
206,6.997783e-05,0.9947916666666666
207,0.007965811,0.9947916666666666
208,0.0006841001,0.9947916666666666
209,0.0013662665,0.9947916666666666
210,0.0024664945,0.9947916666666666
211,7.368869e-05,0.9947916666666666
212,0.0040839217,0.9947916666666666
213,0.012253745,0.9947916666666666
214,0.00014558158,0.9947916666666666
215,0.00014555787,0.9921875
216,0.008085584,0.9921875
217,0.0005055906,0.9947916666666666
218,0.00010589166,0.9947916666666666
219,0.0014970901,0.9921875
220,0.0003912096,0.9947916666666666
221,0.00077654974,0.9921875
222,0.00038009693,0.9947916666666666
223,0.000703407,0.9947916666666666
224,0.0007116039,0.9921875
225,4.4725228e-05,0.9947916666666666
226,0.0022151214,0.9947916666666666
227,0.0011413699,0.9947916666666666
228,0.0012544905,0.9947916666666666
229,0.0016058246,0.9947916666666666
230,0.0013412618,0.9947916666666666
231,2.4615488e-06,0.9947916666666666
