episodic_return,episode_length,total_steps
-17,20,10423
10,3,10426
-20,20,10446
11,1,10447
-18,20,10467
-20,20,10487
-20,20,10507
-19,20,10527
-19,20,10547
-19,20,10567
9,3,10570
-18,20,10590
-18,20,10610
11,1,10611
-17,20,10631
-18,20,10651
-17,20,10671
-18,20,10691
-20,20,10711
11,1,10712
-20,20,10732
10,3,10735
-20,20,10755
-18,20,10775
11,1,10776
-18,20,10796
-19,20,10816
-19,20,10836
-19,20,10856
11,1,10857
-20,20,10877
-16,20,10897
-18,20,10917
-20,20,10937
-20,20,10957
-18,20,10977
11,1,10978
-20,20,10998
-20,20,11018
10,3,11021
11,1,11022
-20,20,11042
-18,20,11062
-20,20,11082
11,3,11085
-20,20,11105
-20,20,11125
11,3,11128
9,3,11131
-18,20,11151
-20,20,11171
-20,20,11191
-20,20,11211
-19,20,11231
-18,20,11251
11,1,11252
-20,20,11272
7,7,11279
11,1,11280
-19,20,11300
-18,20,11320
11,1,11321
11,1,11322
10,5,11327
-18,20,11347
-18,20,11367
-18,20,11387
-20,20,11407
-19,20,11427
-17,20,11447
11,1,11448
11,1,11449
-19,20,11469
-20,20,11489
-19,20,11509
-19,20,11529
-16,20,11549
11,1,11550
-20,20,11570
-18,20,11590
-19,20,11610
10,3,11613
-20,20,11633
10,3,11636
-18,20,11656
-17,20,11676
9,3,11679
-20,20,11699
1,13,11712
-19,20,11732
-20,20,11752
-20,20,11772
10,3,11775
8,7,11782
-19,20,11802
-20,20,11822
-19,20,11842
-20,20,11862
-19,20,11882
11,1,11883
-19,20,11903
-19,20,11923
9,5,11928
-19,20,11948
-19,20,11968
-20,20,11988
-18,20,12008
-20,20,12028
-19,20,12048
11,1,12049
9,3,12052
-19,20,12072
10,3,12075
11,1,12076
11,1,12077
-19,20,12097
-20,20,12117
-19,20,12137
7,5,12142
-19,20,12162
9,3,12165
-18,20,12185
11,1,12186
9,3,12189
10,3,12192
9,7,12199
11,1,12200
-19,20,12220
-19,20,12240
-19,20,12260
-20,20,12280
-19,20,12300
-20,20,12320
-17,20,12340
-17,20,12360
-20,20,12380
-15,20,12400
-17,20,12420
-19,20,12440
11,1,12441
-19,20,12461
8,5,12466
-19,20,12486
10,3,12489
-16,20,12509
-20,20,12529
-20,20,12549
9,3,12552
-20,20,12572
-20,20,12592
9,5,12597
-17,20,12617
-20,20,12637
11,3,12640
11,1,12641
10,3,12644
-20,20,12664
-18,20,12684
-19,20,12704
10,3,12707
-20,20,12727
-20,20,12747
-19,20,12767
-18,20,12787
-18,20,12807
-19,20,12827
10,3,12830
-17,20,12850
-18,20,12870
11,1,12871
11,1,12872
-19,20,12892
-20,20,12912
10,3,12915
-19,20,12935
11,1,12936
-20,20,12956
11,1,12957
11,1,12958
-18,20,12978
7,10,12988
-20,20,13008
-19,20,13028
-17,20,13048
-20,20,13068
-19,20,13088
-20,20,13108
9,5,13113
-18,20,13133
-20,20,13153
-19,20,13173
9,5,13178
-20,20,13198
11,1,13199
-20,20,13219
-19,20,13239
-19,20,13259
11,1,13260
-19,20,13280
9,3,13283
-19,20,13303
-19,20,13323
-19,20,13343
-16,20,13363
11,1,13364
7,5,13369
-19,20,13389
9,5,13394
-18,20,13414
11,3,13417
8,5,13422
-19,20,13442
11,1,13443
-19,20,13463
-20,20,13483
10,3,13486
1,11,13497
-19,20,13517
3,10,13527
-20,20,13547
-19,20,13567
-19,20,13587
-20,20,13607
10,3,13610
-18,20,13630
11,1,13631
-19,20,13651
-20,20,13671
7,5,13676
-19,20,13696
10,3,13699
9,3,13702
-20,20,13722
-19,20,13742
-20,20,13762
11,1,13763
-15,20,13783
11,3,13786
-17,20,13806
8,7,13813
1,14,13827
-18,20,13847
-19,20,13867
-20,20,13887
7,7,13894
-19,20,13914
-20,20,13934
-17,20,13954
-16,20,13974
-19,20,13994
-18,20,14014
-18,20,14034
-20,20,14054
-18,20,14074
-18,20,14094
-19,20,14114
9,3,14117
8,5,14122
-20,20,14142
-19,20,14162
11,1,14163
-19,20,14183
-17,20,14203
10,3,14206
-17,20,14226
11,1,14227
-18,20,14247
-17,20,14267
-19,20,14287
-6,19,14306
-19,20,14326
-20,20,14346
-20,20,14366
10,3,14369
-18,20,14389
-18,20,14409
9,3,14412
-19,20,14432
-19,20,14452
-20,20,14472
-16,20,14492
11,1,14493
-20,20,14513
11,1,14514
-16,20,14534
11,1,14535
1,13,14548
11,3,14551
-20,20,14571
-19,20,14591
-19,20,14611
-18,20,14631
-19,20,14651
-16,20,14671
11,1,14672
-18,20,14692
11,3,14695
-19,20,14715
-19,20,14735
-19,20,14755
11,1,14756
-18,20,14776
11,1,14777
-20,20,14797
-20,20,14817
11,1,14818
-19,20,14838
11,1,14839
11,1,14840
-19,20,14860
-19,20,14880
-20,20,14900
8,5,14905
11,1,14906
